,names_2,link_CU,research_interest,pernames,subfaculty,faculty
163,Professor Yanguo Jing,https://pureportal.coventry.ac.uk/en/persons/yanguo-jing,Research Interests: Sports data analyticsBusiness data analyticsSmart extra care homesUser Modeling and adaptive user interfacesSocial InformaticsSecurity framework for mobile devicesStudent entrepreneurship and employability,Professor Yanguo Jing,Faculty of Business & Law,Faculty of Business & Law
164,Andrew Jones,https://pureportal.coventry.ac.uk/en/persons/andrew-jones-2,"Research Interests: Andrew's primary research interests are within the area of public international law, with a focus on international human rights law, international humanitarian law and the law on the use of force. Specifically, Andrew primarly writes on use of force incidents, examining the application of the law of jus ad bellum and considering it ongoing ability to regulate conflict.",Andrew Jones,School of Law,Faculty of Business & Law
165,Andrew Jones,https://pureportal.coventry.ac.uk/en/persons/andrew-jones-2,"Research Interests: Andrew's primary research interests are within the area of public international law, with a focus on international human rights law, international humanitarian law and the law on the use of force. Specifically, Andrew primarly writes on use of force incidents, examining the application of the law of jus ad bellum and considering it ongoing ability to regulate conflict.",Andrew Jones,Faculty Research Centre for Business in Society,Faculty of Business & Law
166,Katharine Jones,https://pureportal.coventry.ac.uk/en/persons/katharine-jones,Research Interests: Recruiters; Labour migration; Migration industry; Refugees and asylum; Migration intermediaries,,,
167,Jonathan Jong,https://pureportal.coventry.ac.uk/en/persons/jonathan-jong,Research Interests: Death anxiety; Religious belief; Ritual behaviour; Social psychology; Experimental psychology; Evolutionary psychology,,,
168,Jason Jordan,https://pureportal.coventry.ac.uk/en/persons/jason-jordan,Research Interests: Sedimentology; Coastal Change; Climate Change; Tsunami Hazards; Sea Level Change; Quaternary Environments,Jason Jordan,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
169,Nathan Joseph,https://pureportal.coventry.ac.uk/en/persons/nathan-joseph-2,"Research Interests: My reseach interest are as follows:
Corporate governance and risk managementGovernance, legal, regulatory environments and financial crisesMergers and AcquisitionsImpression management and financial integrityTime series forecasting
Moral hazard, adverse selection and societal impacts
Fund performance",Nathan Joseph,Faculty Research Centre for Financial & Corporate Integrity,Faculty of Business & Law
170,Deepa Joshi,https://pureportal.coventry.ac.uk/en/persons/deepa-joshi,"Research Interests: Exploring how water policies, institutions and strategies relate to ground realities of inequity, uncertainty and risks.",,,
171,Peter Jostins,https://pureportal.coventry.ac.uk/en/persons/peter-jostins,Research Interests: Low Carbon Transport,,,
172,Jill Journeaux,https://pureportal.coventry.ac.uk/en/persons/jill-journeaux,Research Interests: Drawing; The domestic crafts; Patterns and patterning,Jill Journeaux,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
173,Adam Jowett,https://pureportal.coventry.ac.uk/en/persons/adam-jowett,"Research Interests: Sexualities; LGBT equality; Homophobia/Heterosexism; Qualitative methodologies; Lesbian, gay, bisexual and transgendered (LGBT)  health",Adam Jowett,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
174,Konstantinos Kakavelakis,https://pureportal.coventry.ac.uk/en/persons/konstantinos-kakavelakis,"Research Interests: Leader-follower relationships,leadership and corporate ideology, HRM and knowledge sharing, line management discretion, production of culture.",Konstantinos Kakavelakis,School of Marketing and Management,Faculty of Business & Law
175,Muhammad Mustafa Kamal,https://pureportal.coventry.ac.uk/en/persons/muhammad-mustafa-kamal,"Research Interests: Operations and Supply Chain Management, Circular Economy, Industry 4.0, Information Systems and Technology Management, Technology and Supply Chain Management, Social Media, Big Data and Business Analytics, and Supply Chain Integration.",Muhammad Mustafa Kamal,Faculty Research Centre for Business in Society,Faculty of Business & Law
176,Stratis Kanarachos,https://pureportal.coventry.ac.uk/en/persons/stratis-kanarachos,"Research Interests: Smart systems, Dynamics, Signal Processing, Optimisation, Soft Computing",,,
177,Awinder Kaur,https://pureportal.coventry.ac.uk/en/persons/awinder-kaur,"Research Interests: My research interests include the following categories:
-Security issues in IPv6
-IPv6 adoption and assimilation issues
-The Internet of Things and IPv6
-Digital Infrastructure adoption and assimilations
 
RESEARCH PRESENTATIONS
National IPv6 Technology Seminar, Park Royal Hotel, Penang, Malaysia – November 2006Next Generation Networks Symposium, IOI Marriot, Putrajaya, Malaysia – March 2007Malaysia’s Government Agencies IPv6 Talk – 22 August 2008PAC IPv6 Forum Event, Cook Island – 6 September 2008HOTM Workshop (US-Malaysia Collaboration), Penang, Malaysia – November 2008Bangkok APv6TF Meeting and Thailand IPv6 Summit – February 2009INET KL & APv6TF Meeting, Kuala Lumpur, Malaysia – July 2009Cisco IPv6 Talk, Kuala Lumpur, Malaysia – July 2008New Zealand Information Systems Doctoral Consortium (NZISDC) 2011, Victoria University of Wellington, New ZealandNew Zealand Information Systems Doctoral Consortium (NZISDC) 2012, University of Waikato, New ZealandAustralasian Conference of Information Systems (ACIS) Doctoral Consortium 2012, Deakins University, Geelong, AustraliaNew Zealand Information Systems Doctoral Consortium (NZISDC) 2013, University of Auckland, New Zealand
PUBLICATIONS
Kaur, A., Idrus, R., Ramadass, S. “IPv6 Migration in Malaysia E-Government Agencies – Issues and Challenges”, 26th APAN Meeting, New Zealand. 4-8 August 2008
Pahlevanzadeh, B., Kaur, A., Seno,  S. A. H., Idrus, R., Budiarto, R. “IPv6 and e-Government Integration – A Way towards Next-Generation Networks”, Proceedings of the 3rd International Conference on “E-Commerce with focus on Developing Countries (ECDC 08)”, Isfahan, Iran, 22 -23 October 2008, pp. 43-49
Kaur, A., Singh, H., Tan, F. B. “Why isn’t Digital Infrastructure Being Updated?: The Case of IPv6”, 24th Australasian Conference on Information Systems, Australia, December 2013
Kaur, A., Singh, H. “Impact of Network Externalities on Digital Infrastructure Adoption and Assimilation: The Case of IPv6”, 3rd Innovation in Information Infrastructure (III) Workshop, Oslo, Norway, October 2014
 
AWARDS & HONORS
Graduate Assistantship Award – Auckland University of Technology (August 2012 – June 2015)Doctoral Consortium – New Zealand Information Systems (NZISDC), University of Auckland (2013)Doctoral Consortium – Australasian Conference of Information Systems (December 2012)Doctoral Consortium – New Zealand Information Systems (NZISDC), University of Waikato (2012)Doctoral Consortium – New Zealand Information Systems (NZISDC), Victoria University of Wellington (2011)
INTERNET RESEARCH GRANT (April 2014 – April 2015)
Given by:              Internet New Zealand (InternetNZ)
Amount:               NZD$5000
Project Title:        IPv6 Adoption and Assimilation in New Zealand Public Sector Organisations
Summary:            Looking into whether New Zealand is picking up IPv6 and if not, why not. Internet Protocols are the communication rules that allow you to find your way around the Internet. In recent times the Internet was running short on IPv4 addresses so IPv6 was developed to accommodate this.
RESEARCH PROJECT
Research Assistant (April 2013 – December 2013) and (May 2015 – September 2015)
Project Title:        “Police Geeks”: Digital Literacy and Police Practice in New Zealand
REVIEWER FOR CONFERENCES
Australasian Conference of Information Systems (ACIS)Academy of Management (AoM)International Conference of Information Systems (ICIS)Association for Information Systems (AMCIS)European Conference on Information Systems (ECIS)Hawaii International Conference on Systems Sciences (HCISS)",Awinder Kaur,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
